,close,open,high,low,volume
2023-02-28,4079.2,4068.0,4086.2,4026.0,69154.0
2023-02-27,4051.4,4050.0,4071.8,4035.4,61240.0
2023-02-24,4067.6,4103.0,4107.6,4046.0,71007.0
2023-02-23,4108.2,4116.0,4136.0,4089.0,69947.0
2023-02-22,4109.8,4131.0,4146.2,4102.4,65244.0
2023-02-21,4149.4,4140.0,4162.4,4124.8,66790.0
2023-02-20,4146.8,4049.0,4148.6,4036.6,87814.0
2023-02-17,4034.6,4099.0,4114.0,4032.4,80888.0
2023-02-16,4098.2,4132.8,4183.0,4074.8,80177.0
2023-02-15,4127.4,4154.0,4167.8,4118.8,34793.0
2023-02-14,4156.8,4149.0,4159.0,4130.6,25082.0
2023-02-13,4144.0,4096.0,4149.6,4093.0,28471.0
2023-02-10,4114.0,4136.2,4136.2,4097.4,23282.0
2023-02-09,4142.6,4079.8,4146.8,4079.6,29794.0
2023-02-08,4086.0,4105.0,4120.0,4080.0,20608.0
2023-02-07,4099.0,4108.0,4110.0,4078.6,22710.0
2023-02-06,4088.0,4105.4,4109.4,4064.2,32968.0
2023-02-03,4146.8,4161.4,4169.6,4109.6,33469.0
2023-02-02,4191.8,4217.6,4220.0,4181.2,26257.0
2023-02-01,4209.0,4198.0,4210.8,4156.4,27760.0
2023-01-31,4180.8,4221.2,4242.0,4178.2,23816.0
2023-01-30,4208.0,4280.0,4282.8,4204.4,55785.0
2023-01-20,4192.4,4191.8,4212.4,4181.8,47080.0
2023-01-19,4158.0,4121.4,4162.2,4105.0,36370.0
2023-01-18,4133.4,4153.0,4161.4,4130.0,41644.0
2023-01-17,4147.0,4151.0,4160.8,4131.4,45135.0
2023-01-16,4149.6,4090.6,4196.0,4089.8,76171.0
2023-01-13,4090.8,4037.0,4091.8,4033.8,56670.0
2023-01-12,4024.6,4029.6,4038.6,4010.8,45904.0
2023-01-11,4017.2,4022.0,4048.2,4012.4,50080.0
2023-01-10,4018.0,4014.0,4037.8,4003.4,48658.0
2023-01-09,4011.6,4008.0,4032.0,3996.8,56555.0
2023-01-06,3990.8,3975.2,4008.0,3972.0,55649.0
2023-01-05,3974.4,3923.8,3982.6,3918.0,65791.0
2023-01-04,3898.0,3897.4,3911.0,3876.6,52123.0
2023-01-03,3894.2,3861.0,3909.6,3834.4,67115.0
2022-12-30,3886.0,3885.0,3898.8,3877.8,44710.0
2022-12-29,3869.8,3868.0,3881.0,3845.0,50940.0
2022-12-28,3885.0,3889.2,3897.4,3868.4,48470.0
2022-12-27,3901.4,3882.0,3907.2,3874.0,51820.0
2022-12-26,3855.2,3850.0,3878.6,3847.8,46890.0
2022-12-23,3839.8,3835.0,3871.0,3826.2,61040.0
2022-12-22,3850.0,3870.0,3897.8,3835.0,64860.0
2022-12-21,3844.0,3859.6,3866.0,3835.0,51240.0
2022-12-20,3848.2,3900.0,3903.2,3827.4,69750.0
2022-12-19,3906.8,3971.0,3989.8,3895.4,74370.0
2022-12-16,3939.4,3930.0,3959.6,3930.0,29430.0
2022-12-15,3954.2,3965.0,3970.4,3930.6,53640.0
2022-12-14,3956.8,3950.8,3979.0,3940.6,67130.0
2022-12-13,3958.6,3963.2,3974.6,3946.2,60030.0
2022-12-12,3965.6,3985.0,3989.8,3958.2,69510.0
2022-12-09,4001.6,3971.6,4015.4,3952.2,81250.0
2022-12-08,3965.6,3960.0,3979.8,3947.0,65460.0
2022-12-07,3955.0,3964.4,4012.6,3944.0,84830.0
2022-12-06,3966.4,3935.0,3996.4,3933.2,80440.0
2022-12-05,3943.2,3927.8,3954.0,3906.0,80130.0
2022-12-02,3888.6,3900.0,3915.6,3882.4,63910.0
2022-12-01,3909.6,3935.0,3965.0,3904.0,78290.0
2022-11-30,3853.2,3850.0,3876.0,3845.2,66150.0
2022-11-29,3854.0,3770.0,3866.6,3770.0,96670.0
2022-11-28,3732.2,3701.0,3747.4,3672.6,90490.0
2022-11-25,3786.4,3760.4,3802.6,3751.0,77370.0
2022-11-24,3765.0,3801.8,3818.0,3756.0,70280.0
2022-11-23,3782.4,3766.4,3805.0,3760.4,79990.0
2022-11-22,3769.0,3781.2,3819.8,3751.8,84650.0
2022-11-21,3774.8,3775.2,3781.8,3734.2,76460.0
2022-11-18,3817.6,3822.2,3835.4,3802.6,20040.0
2022-11-17,3806.4,3828.0,3828.4,3776.8,40980.0
2022-11-16,3841.4,3856.0,3881.8,3834.0,50340.0
2022-11-15,3866.4,3789.0,3879.8,3779.8,68190.0
2022-11-14,3797.6,3838.8,3862.2,3785.2,70240.0
2022-11-11,3813.8,3798.4,3845.8,3755.8,91070.0
2022-11-10,3696.8,3696.6,3712.8,3671.6,63500.0
2022-11-09,3719.2,3761.2,3772.2,3712.0,59050.0
2022-11-08,3748.4,3783.6,3789.6,3734.2,58750.0
2022-11-07,3778.4,3762.8,3802.8,3757.2,66050.0
2022-11-04,3781.2,3652.6,3798.6,3652.6,84100.0
2022-11-03,3652.8,3661.0,3676.2,3633.0,64950.0
2022-11-02,3684.2,3634.4,3713.0,3625.2,81700.0
2022-11-01,3628.2,3530.2,3649.4,3523.6,95810.0
2022-10-31,3505.4,3513.0,3561.6,3492.2,82500.0
2022-10-28,3550.6,3624.2,3627.6,3535.6,81560.0
2022-10-27,3643.6,3678.0,3697.0,3631.0,73220.0
2022-10-26,3649.8,3632.0,3712.2,3632.0,79590.0
2022-10-25,3632.0,3632.0,3684.8,3599.2,84950.0
2022-10-24,3628.0,3721.2,3772.6,3605.0,89850.0
2022-10-21,3744.4,3760.0,3776.8,3738.4,19370.0
2022-10-20,3759.6,3754.2,3812.4,3729.0,43480.0
2022-10-19,3778.6,3825.8,3843.0,3771.2,50140.0
2022-10-18,3832.4,3862.0,3869.8,3823.6,54540.0
2022-10-17,3839.8,3830.0,3846.8,3808.0,52790.0
2022-10-14,3844.8,3785.4,3865.0,3785.0,68750.0
2022-10-13,3756.4,3761.0,3788.2,3745.8,63910.0
2022-10-12,3765.2,3724.6,3786.6,3656.0,80740.0
2022-10-11,3730.4,3736.0,3745.8,3712.6,54150.0
2022-10-10,3729.2,3812.0,3816.8,3714.0,62660.0
2022-09-30,3814.4,3849.2,3860.8,3804.0,64040.0
2022-09-29,3832.0,3868.2,3883.4,3813.4,64360.0
2022-09-28,3842.4,3880.0,3880.2,3832.2,61760.0
2022-09-27,3888.6,3852.6,3900.8,3833.6,62820.0
2022-09-26,3849.8,3840.8,3902.8,3834.2,71040.0
2022-09-23,3865.6,3866.0,3895.0,3828.4,77120.0
2022-09-22,3871.8,3879.2,3902.0,3854.4,55700.0
2022-09-21,3908.2,3921.2,3928.0,3880.4,61360.0
2022-09-20,3927.4,3949.0,3962.2,3918.6,48150.0
2022-09-19,3925.6,3931.0,3953.8,3912.2,57040.0
2022-09-16,3957.0,4015.0,4029.0,3953.0,25350.0
2022-09-15,4022.4,4075.0,4086.6,4005.8,52960.0
2022-09-14,4069.6,4072.2,4096.0,4054.0,58790.0
2022-09-13,4115.8,4102.0,4134.4,4101.8,58760.0
2022-09-09,4099.8,4048.6,4106.8,4045.4,66690.0
2022-09-08,4041.0,4065.0,4070.0,4036.6,49180.0
2022-09-07,4052.4,4032.0,4068.6,4029.4,51800.0
2022-09-06,4043.4,4023.8,4052.0,4009.0,63390.0
2022-09-05,4005.6,4006.0,4018.8,3975.0,61070.0
2022-09-02,4014.8,4051.2,4056.8,3998.8,63940.0
2022-09-01,4050.8,4069.4,4093.8,4034.0,64660.0
2022-08-31,4082.4,4066.0,4123.2,4050.2,87470.0
2022-08-30,4074.2,4085.0,4092.0,4036.0,68140.0
2022-08-29,4082.8,4070.2,4098.2,4060.4,62060.0
2022-08-26,4107.8,4123.8,4136.0,4100.0,58630.0
2022-08-25,4100.6,4093.8,4122.2,4058.4,75650.0
2022-08-24,4078.2,4163.0,4173.8,4066.2,77940.0
2022-08-23,4150.4,4173.8,4187.8,4133.8,65960.0
2022-08-22,4173.8,4132.4,4184.8,4127.2,68610.0
2022-08-19,4162.9,4178.2,4191.0,4160.6,15110.0
2022-08-18,4180.2,4201.0,4214.0,4170.2,36550.0
2022-08-17,4219.4,4183.0,4229.2,4150.0,53700.0
2022-08-16,4175.2,4192.6,4214.2,4166.2,46500.0
2022-08-15,4185.2,4175.2,4226.8,4175.2,52120.0
2022-08-12,4198.6,4186.0,4207.2,4176.0,46160.0
2022-08-11,4194.8,4130.0,4199.8,4113.8,66410.0
2022-08-10,4098.4,4141.8,4154.2,4083.4,52350.0
2022-08-09,4147.2,4138.0,4159.8,4125.0,46450.0
2022-08-08,4143.4,4142.0,4159.6,4130.2,47780.0
2022-08-05,4150.8,4108.0,4164.2,4090.0,67640.0
2022-08-04,4090.0,4088.0,4102.8,4062.4,62370.0
2022-08-03,4069.2,4128.0,4151.8,4048.8,73230.0
2022-08-02,4115.2,4120.4,4135.8,4063.2,81790.0
2022-08-01,4171.6,4147.0,4187.0,4116.2,66170.0
2022-07-29,4157.8,4221.0,4246.0,4144.8,82920.0
2022-07-28,4218.8,4235.0,4270.0,4209.6,72590.0
2022-07-27,4215.0,4228.2,4235.0,4205.2,57340.0
2022-07-26,4236.4,4223.6,4260.0,4210.2,64660.0
2022-07-25,4206.8,4222.2,4222.2,4187.6,58400.0
